,item,freq,canon_segm,prs,ROOT_1_FamSize,ROOT_1_Freq,ROOT_1_Length,ROOT_1_PFMF,ROOT_2_FamSize,ROOT_2_Freq,ROOT_2_Length,ROOT_2_PFMF,n_morphemes
28730,malhonnête,4.03,(mal)(honnête),"(0, 2, 0)",36,1119.62999999999,3,36.1111111111111,5,77.68,7,60,2
28737,malmenées,0.64,(mal)(mener),"(0, 2, 0)",36,1119.62999999999,3,63.8888888888888,8,729.78,5,87.5,2
28740,malpropre,0.99,(mal)(propre),"(0, 2, 0)",36,1119.62999999999,3,58.3333333333333,7,189.879999999999,6,57.1428571428571,2
28742,malsain,4.97999999999999,(mal)(sain),"(0, 2, 0)",36,1119.62999999999,3,33.3333333333333,7,124.55,4,28.5714285714285,2
28745,malséant,0.06,(mal)(séant),"(0, 2, 0)",36,1119.62999999999,3,91.6666666666666,2,0.13,5,50,2
28746,maltraité,1.77,(mal)(traiter),"(0, 2, 0)",36,1119.62999999999,3,47.2222222222222,7,151.62,7,42.8571428571428,2
28857,manucure,1.96,(main)(cure),"(0, 2, 0)",12,530.92,4,41.6666666666666,5,10.66,4,40,2
28863,manuscrit,3.98,(main)(écrire),"(0, 2, 0)",12,530.92,4,25,14,378.32,6,21.4285714285714,2
28864,manuscrits,1.65,(main)(scrits),"(0, 2, 0)",12,530.92,4,50,1,1.65,6,0,2
28867,mappemonde,0.06,(mappe)(monde),"(0, 2, 0)",1,0.06,5,0,5,847.55,5,80,2
28901,marchepied,0.36,(marche)(pied),"(0, 2, 0)",6,376.56,6,66.6666666666666,8,223.09,4,50,2
29165,mégahertz,0.05,(méga)(hertz),"(0, 2, 0)",3,5.14999999999999,4,66.6666666666666,1,0.05,5,0,2
29166,mégatonnes,0.35,(méga)(tonne),"(0, 2, 0)",3,5.14999999999999,4,33.3333333333333,4,18.9099999999999,5,50,2
29197,mélodrame,1.09,(mélo)(drame),"(0, 2, 0)",3,2.2,4,0,4,25.08,5,50,2
29199,mélomanes,0.27,(mélo)(mane),"(0, 2, 0)",3,2.2,4,66.6666666666666,1,0.27,4,0,2
29258,ménopause,0.83,(méno)(pause),"(0, 2, 0)",1,0.83,4,0,3,29.08,5,33.3333333333333,2
29315,mercurochrome,0.07,(mercure)(chrome),"(0, 2, 0)",2,1.2,7,50,5,2.34,6,60,2
29348,mesdemoiselles,7.36,(mes)(demoiselle),"(0, 2, 0)",5,1328.99,3,60,3,97.21,10,66.6666666666666,2
29374,métaphysique,1.28,(méta)(physique),"(0, 2, 0)",4,8.45999999999999,4,50,3,39.69,8,66.6666666666666,2
29376,météorologie,0.13,(météo)(logue/ie),"(0, 2, 0)",2,9.03,5,50,55,105.27,8,74.5454545454545,2
29443,microfilm,0.51,(micro)(film),"(0, 2, 0)",5,19.68,5,40,3,289.4,4,66.6666666666666,2
29444,microgravité,0.01,(micro)(gravité),"(0, 2, 0)",5,19.68,5,80,4,9.28,7,75,2
29445,microscope,3.71,(micro)(scope/ie),"(0, 2, 0)",5,19.68,5,20,11,10.77,8,0,2
29498,minibus,1.99,(mini)(boire),"(0, 2, 0)",4,6.79,4,50,17,647.84,5,41.1764705882352,2
29533,misanthropes,0,(miso)(anthrope),"(0, 2, 0)",2,0.23,4,50,6,3.03999999999999,8,83.3333333333333,2
29544,misogynie,0.23,(miso)(gyn),"(0, 2, 0)",2,0.23,4,0,1,0.23,3,0,2
29631,monarque,1.16,(mon)(arche),"(0, 2, 0)",7,4461.93,3,42.8571428571428,11,19.21,5,36.3636363636363,2
29666,monseigneur,26.26,(mon)(seigneur),"(0, 2, 0)",7,4461.93,3,28.5714285714285,3,182.89,8,33.3333333333333,2
29898,multicolore,0.42,(multi)(couleur),"(0, 2, 0)",4,1.85,5,25,8,87.83,7,37.5,2
29901,multiplex,0.11,(multi)(plex),"(0, 2, 0)",4,1.85,5,50,1,0.11,4,0,2
30016,mythologie,2.02,(mythe)(logue/ie),"(0, 2, 0)",4,10.1,5,25,55,105.27,8,14.5454545454545,2
30128,nécromancie,0.09,(nécro)(mancie),"(0, 2, 0)",4,0.55,5,50,2,0.23,6,50,2
30129,nécrophage,0.04,(nécro)(phage),"(0, 2, 0)",4,0.55,5,75,4,0.75,5,75,2
30130,nécrophile,0.22,(nécro)(philo),"(0, 2, 0)",4,0.55,5,0,8,22.94,5,50,2
30131,nécropole,0.2,(nécro)(pole),"(0, 2, 0)",4,0.55,5,25,3,2.47,4,66.6666666666666,2
30191,neurologue,1.34,(neuro)(logue/ie),"(0, 2, 0)",6,4.22,5,16.6666666666666,55,105.27,8,36.3636363636363,2
30231,noctambule,0.45,(noct)(ambuler),"(0, 2, 0)",2,6.54,4,50,8,35.7,7,50,2
30594,omnibus,0.37,(omni)(boire),"(0, 2, 0)",6,0.52,4,0,17,647.84,5,64.7058823529411,2
30597,omnipotentes,0.01,(omni)(potent),"(0, 2, 0)",6,0.52,4,66.6666666666666,3,11.43,6,66.6666666666666,2
30598,omniprésente,0.08,(omni)(présenter),"(0, 2, 0)",6,0.52,4,16.6666666666666,4,217.63,9,75,2
30599,omnisports,0.01,(omni)(sport),"(0, 2, 0)",6,0.52,4,66.6666666666666,4,40.88,5,75,2
30600,omnivore,0.02,(omni)(vore),"(0, 2, 0)",6,0.52,4,50,7,19.97,4,85.7142857142857,2
30778,ornithologie,0.2,(ornitho)(logue/ie),"(0, 2, 0)",1,0.2,7,0,55,105.27,8,67.2727272727272,2
30780,orthodoxe,2.84999999999999,(ortho)(doxe),"(0, 2, 0)",4,6.34,5,25,3,4.9,4,0,2
30783,orthographe,3.34,(ortho)(graphe/ie),"(0, 2, 0)",4,6.34,5,0,35,67.24,9,11.4285714285714,2
30798,oscilloscope,0.08,(oscillo)(scope/ie),"(0, 2, 0)",1,0.08,7,0,11,10.77,8,63.6363636363636,2
30871,outremer,0.23,(outre)(mer),"(0, 2, 0)",4,9.51,5,25,9,147.359999999999,3,77.7777777777777,2
30912,oxygène,14.22,(oxy)(gène),"(0, 2, 0)",1,14.22,3,0,19,41.24,4,0,2
30957,palmipède,0,(palme)(pède),"(0, 2, 0)",3,6.67,5,66.6666666666666,1,0,4,0,2
31062,parcmètres,0.16,(parc)(mètre),"(0, 2, 0)",2,33.0199999999999,4,50,16,98.51,5,81.25,2
31077,pardessus,1.43,(par)(dessus),"(0, 2, 0)",4,1781.89999999999,3,75,2,167.39,6,50,2
31348,pathogène,0.58,(pathe/ie)(gène),"(0, 2, 0)",13,52.9799999999999,8,76.9230769230769,19,41.24,4,42.1052631578947,2
31349,pathologie,1.58,(pathe/ie)(logue/ie),"(0, 2, 0)",13,52.9799999999999,8,46.1538461538461,55,105.27,8,23.6363636363636,2
31373,patriarche,1.04,(pater)(arche),"(0, 2, 0)",3,1.6,5,0,11,19.21,5,54.5454545454545,2
31383,patronyme,0.25,(patro)(nyme),"(0, 2, 0)",1,0.25,5,0,5,17.08,4,80,2
31447,pédagogie,1.21,(péda)(gogue),"(0, 2, 0)",2,1.9,4,0,3,2.51,5,0,2
31705,périscope,1.24,(périr)(scope/ie),"(0, 2, 0)",5,8.88999999999999,5,20,11,10.77,8,27.2727272727272,2
31859,pétrochimie,0,(pétro)(chimie),"(0, 2, 0)",2,0.04,5,50,9,22.71,6,88.8888888888888,2
31881,phénoménologie,0.04,(phénomène)(logue/ie),"(0, 2, 0)",3,11.5799999999999,9,66.6666666666666,55,105.27,8,80,2
31882,philanthrope,0.84,(philo)(anthrope),"(0, 2, 0)",8,22.94,5,37.5,6,3.03999999999999,8,16.6666666666666,2
31884,philosophe,17.85,(philo)(sophe/ie),"(0, 2, 0)",8,22.94,5,0,3,19.33,8,0,2
31890,phonographe,0.86,(phone/ie)(graphe/ie),"(0, 2, 0)",15,238.13,8,53.3333333333333,35,67.24,9,40,2
31896,photocopie,4.3,(photo)(copie),"(0, 2, 0)",9,249.37,5,33.3333333333333,5,39.47,5,40,2
31899,photographe,25.99,(photo)(graphe/ie),"(0, 2, 0)",9,249.37,5,11.1111111111111,35,67.24,9,0,2
31908,photosynthèse,0.25,(photo)(synthèse),"(0, 2, 0)",9,249.37,5,66.6666666666666,3,3.45,8,66.6666666666666,2
31911,physionomie,0.48,(physio)(nome/ie),"(0, 2, 0)",5,3.09,6,40,12,44.0899999999999,7,41.6666666666666,2
31914,physiologie,0.75,(physio)(logue/ie),"(0, 2, 0)",5,3.09,6,20,55,105.27,8,47.2727272727272,2
31915,physiothérapie,0.24,(physio)(thérapie),"(0, 2, 0)",5,3.09,6,60,7,20.09,8,71.4285714285714,2
32087,pornographes,1.83,(porno)(graphe/ie),"(0, 2, 0)",3,19.6199999999999,5,33.3333333333333,35,67.24,9,20,2
32103,portefeuille,17.91,(porte)(feuille),"(0, 2, 0)",13,600.499999999999,5,30.7692307692307,11,55.45,7,9.09090909090909,2
32105,portemanteau,0.37,(porte)(manteau),"(0, 2, 0)",13,600.499999999999,5,84.6153846153846,2,40.3399999999999,7,50,2
32227,pourquoi,2005.19,(pour)(quoi),"(0, 2, 0)",8,9222.85,4,12.5,2,4487.17,4,50,2
32250,pourtant,95.8,(pour)(tante),"(0, 2, 0)",8,9222.85,4,25,3,553.78,5,33.3333333333333,2
33025,psychanalyse,1.38,(psycho)(analyse),"(0, 2, 0)",19,70.56,6,57.8947368421052,7,40.25,7,42.8571428571428,2
33094,pyrotechnique,0.06,(pyro)(technique),"(0, 2, 0)",1,0.06,4,0,4,32.68,9,75,2
33095,quadrilatère,0.19,(quatre)(latère),"(0, 2, 0)",9,167.99,6,33.3333333333333,1,0.19,6,0,2
33112,quelquefois,11.87,(quelque)(fois),"(0, 2, 0)",2,1296.44,7,50,4,943.38,4,50,2
35555,sauvegarde,1.22,(sauver)(garde),"(0, 2, 0)",6,262.21,6,66.6666666666666,5,487.1,5,80,2
35892,sitôt,3.59,(si)(tôt),"(0, 2, 0)",2,3486.38,2,50,4,332.05,3,75,2
36450,surtout,149.2,(sur)(tout),"(0, 2, 0)",2,2721.72,3,50,4,7472.21999999999,4,50,2
36502,synonyme,1.31,(syno)(nyme),"(0, 2, 0)",1,1.31,4,0,5,17.08,4,60,2
36671,télécommande,4.17,(télé)(commande),"(0, 2, 0)",24,391.179999999999,4,25,10,198.59,8,50,2
36678,téléphone,172.31,(télé)(phone/ie),"(0, 2, 0)",24,391.179999999999,4,0,15,238.13,8,0,2
36686,télescope,2.32,(télé)(scope/ie),"(0, 2, 0)",24,391.179999999999,4,33.3333333333333,11,10.77,8,9.09090909090909,2
36735,tergiversais,0,(tergi)(verser),"(0, 2, 0)",2,0.06,5,50,6,61.37,6,83.3333333333333,2
36965,toujours,1072.36,(tout)(jour),"(0, 2, 0)",4,7472.21999999999,4,25,6,2880.74,4,0,2
37016,toutefois,5.37,(tout)(fois),"(0, 2, 0)",4,7472.21999999999,4,75,4,943.38,4,75,2
37484,uniforme,26.06,(un)(forme),"(0, 2, 0)",14,21122.25,2,42.8571428571428,29,262.78,5,10.3448275862068,2
37790,virevolte,0.04,(virer)(volte),"(0, 2, 0)",5,97.8099999999999,5,80,1,0.04,5,0,2
37956,zoophile,0.01,(zoo)(philo),"(0, 2, 0)",3,11.8099999999999,3,66.6666666666666,8,22.94,5,75,2
